1,1309,1.05,2128.34,190.4,0,Wed Apr 28 16:23:36 2021
1,1215,0.98,2370.37,163.3,0,Wed Apr 28 16:23:43 2021
1,1314,1.06,2116.44,191.9,0,Wed Apr 28 16:23:49 2021
1,1311,1.06,2123.57,191.0,0,Wed Apr 28 16:23:49 2021
1,1280,1.03,2199.22,181.7,0,Wed Apr 28 16:23:55 2021
1,1370,1.10,1989.05,209.7,0,Wed Apr 28 16:23:55 2021
1,1315,1.06,2114.07,192.2,0,Wed Apr 28 16:24:07 2021
1,1309,1.05,2128.34,190.4,0,Wed Apr 28 16:24:07 2021
1,1305,1.05,2137.93,189.2,0,Wed Apr 28 16:24:26 2021
1,1325,1.07,2090.57,195.3,0,Wed Apr 28 16:24:26 2021
1,1227,0.99,2337.41,166.6,0,Wed Apr 28 16:24:32 2021
1,1328,1.07,2083.58,196.3,0,Wed Apr 28 16:24:32 2021
1,1291,1.04,2171.96,185.0,0,Wed Apr 28 16:24:38 2021
1,1240,1.00,2302.42,170.2,0,Wed Apr 28 16:24:38 2021
1,1254,1.01,2265.55,174.2,0,Wed Apr 28 16:24:50 2021
1,1235,1.00,2315.79,168.8,0,Wed Apr 28 16:24:50 2021
1,1234,0.99,2318.48,168.5,0,Wed Apr 28 16:24:56 2021
1,1168,0.94,2505.99,150.8,0,Wed Apr 28 16:24:56 2021
1,1269,1.02,2226.95,178.5,0,Wed Apr 28 16:25:02 2021
1,1258,1.01,2255.17,175.3,0,Wed Apr 28 16:25:02 2021
1,1291,1.04,2171.96,185.0,0,Wed Apr 28 16:25:08 2021
1,1305,1.05,2137.93,189.2,1,Wed Apr 28 16:25:08 2021
1,240,0.19,16062.50,10.7,0,Wed Apr 28 19:45:35 2021
1,243,0.20,15851.85,10.9,0,Wed Apr 28 19:45:35 2021
1,250,0.20,15380.00,11.3,0,Wed Apr 28 19:45:41 2021
1,240,0.19,16062.50,10.7,0,Wed Apr 28 19:45:41 2021
1,257,0.21,14933.85,11.8,0,Wed Apr 28 19:45:47 2021
1,251,0.20,15314.74,11.4,1,Wed Apr 28 19:45:47 2021
1,302,0.24,12559.60,15.1,0,Wed Apr 28 19:45:53 2021
1,298,0.24,12741.61,14.8,0,Wed Apr 28 19:45:53 2021
1,304,0.24,12470.40,15.3,0,Wed Apr 28 19:45:59 2021
1,2953,0.92,386.73,2347.2,0,Fri Apr 30 18:23:32 2021
1,2992,0.89,368.65,2509.8,0,Fri Apr 30 18:23:38 2021
1,2950,0.92,388.14,2335.2,0,Fri Apr 30 18:23:38 2021
1,1535,2.06,1667.75,303.4,0,Fri Apr 30 18:23:44 2021
1,1636,1.98,1503.06,351.0,1,Fri Apr 30 18:23:44 2021
1,1567,2.04,1613.27,317.9,0,Fri Apr 30 18:23:50 2021
1,1631,1.99,1510.73,348.5,0,Fri Apr 30 18:23:50 2021
1,2960,0.91,383.45,2375.3,0,Fri Apr 30 18:23:57 2021
1,3459,0.51,183.87,6645.5,0,Fri Apr 30 18:23:57 2021
1,2035,1.66,1012.28,610.3,0,Fri Apr 30 18:24:03 2021
1,1605,2.01,1551.40,335.8,1,Fri Apr 30 18:24:03 2021
1,1583,2.02,1586.86,325.3,0,Fri Apr 30 18:24:09 2021
1,1654,1.97,1475.82,360.1,0,Fri Apr 30 18:24:09 2021
1,1671,1.95,1450.63,368.8,1,Fri Apr 30 18:24:15 2021
1,1578,2.03,1595.06,323.0,0,Fri Apr 30 18:24:15 2021
1,1659,1.96,1468.35,362.6,0,Fri Apr 30 18:24:27 2021
1,1678,1.95,1440.41,372.5,1,Fri Apr 30 18:24:27 2021
1,1505,2.09,1720.93,290.4,0,Fri Apr 30 18:24:33 2021
1,1525,2.07,1685.25,299.0,0,Fri Apr 30 18:24:33 2021
1,1364,2.20,2002.20,234.9,0,Fri Apr 30 18:24:39 2021
1,1392,2.18,1941.81,245.2,0,Fri Apr 30 18:24:39 2021
1,1300,2.25,2150.00,212.6,0,Fri Apr 30 18:24:45 2021
1,1489,2.10,1750.17,283.6,0,Fri Apr 30 18:24:45 2021
1,1638,1.98,1500.00,352.0,0,Fri Apr 30 18:24:51 2021
1,1567,2.04,1613.27,317.9,0,Fri Apr 30 18:24:51 2021
1,1382,2.19,1963.10,241.5,0,Fri Apr 30 18:24:57 2021
1,1232,2.31,2323.86,190.7,0,Fri Apr 30 18:24:57 2021
1,1355,2.21,2022.14,231.7,0,Fri Apr 30 18:25:03 2021
1,507,2.89,7076.92,40.1,0,Fri Apr 30 18:25:03 2021
1,1382,2.19,1963.10,241.5,0,Fri Apr 30 18:25:10 2021
