param N_paletes:=60;

param N_Niveis:=500;

param N_Racks:=50;

param Palete:
#	Referencia	Altura	Largura	Taxa de >Utilizacao
	1	2	3	4:=
1	267	79	800	11
2	276	109	800	5
3	267	79	800	11
4	269	39	800	10
5	266	109	800	11
6	266	49	800	11
7	262	39	800	15
8	274	109	800	7
9	279	59	800	3
10	265	49	800	11
11	262	79	800	15
12	273	109	800	7
13	280	109	800	3
14	273	109	800	7
15	278	39	800	4
16	274	109	800	7
17	259	79	800	29
18	268	39	800	10
19	274	49	800	7
20	280	109	800	3
21	257	109	800	31
22	281	109	800	2
23	260	61	800	23
24	280	109	800	3
25	274	109	800	7
26	274	109	800	7
27	264	79	800	12
28	280	109	800	3
29	263	79	800	15
30	273	109	800	7
31	264	79	800	12
32	266	109	800	11
33	273	109	800	7
34	267	79	800	11
35	275	109	800	7
36	258	79	800	29
37	262	39	800	15
38	273	109	800	7
39	259	79	800	29
40	258	79	800	29
41	266	49	800	11
42	269	79	800	10
43	274	109	800	7
44	280	109	800	3
45	275	109	800	7
46	276	109	800	5
47	274	109	800	7
48	274	109	800	7
49	276	109	800	5
50	274	109	800	7
51	273	109	800	7
52	270	59	800	10
53	274	109	800	7
54	274	109	800	7
55	263	79	800	15
56	269	79	800	10
57	259	79	800	29
58	257	109	800	31
59	260	61	800	23
60	276	109	800	5
;

param Nivel:
#	tempo	largura	rack
	1	2	3	:=
1	1	3200	1
2	2	3200	1
3	3	3200	1
4	5	3200	1
5	6	3200	1
6	8	3200	1
7	10	3200	1
8	13	3200	1
9	15	3200	1
10	18	3200	1
11	2	3200	2
12	3	3200	2
13	4	3200	2
14	6	3200	2
15	7	3200	2
16	9	3200	2
17	11	3200	2
18	14	3200	2
19	16	3200	2
20	19	3200	2
21	3	3200	3
22	4	3200	3
23	5	3200	3
24	7	3200	3
25	8	3200	3
26	10	3200	3
27	12	3200	3
28	15	3200	3
29	17	3200	3
30	20	3200	3
31	4	3200	4
32	5	3200	4
33	6	3200	4
34	8	3200	4
35	9	3200	4
36	11	3200	4
37	13	3200	4
38	16	3200	4
39	18	3200	4
40	21	3200	4
41	5	3200	5
42	6	3200	5
43	7	3200	5
44	9	3200	5
45	10	3200	5
46	12	3200	5
47	14	3200	5
48	17	3200	5
49	19	3200	5
50	22	3200	5
51	1	3200	6
52	2	3200	6
53	3	3200	6
54	5	3200	6
55	6	3200	6
56	8	3200	6
57	10	3200	6
58	13	3200	6
59	15	3200	6
60	18	3200	6
61	2	3200	7
62	3	3200	7
63	4	3200	7
64	6	3200	7
65	7	3200	7
66	9	3200	7
67	11	3200	7
68	14	3200	7
69	16	3200	7
70	19	3200	7
71	3	3200	8
72	4	3200	8
73	5	3200	8
74	7	3200	8
75	8	3200	8
76	10	3200	8
77	12	3200	8
78	15	3200	8
79	17	3200	8
80	20	3200	8
81	4	3200	9
82	5	3200	9
83	6	3200	9
84	8	3200	9
85	9	3200	9
86	11	3200	9
87	13	3200	9
88	16	3200	9
89	18	3200	9
90	21	3200	9
91	5	3200	10
92	6	3200	10
93	7	3200	10
94	9	3200	10
95	10	3200	10
96	12	3200	10
97	14	3200	10
98	17	3200	10
99	19	3200	10
100	22	3200	10
101	5	3200	11
102	6	3200	11
103	7	3200	11
104	9	3200	11
105	10	3200	11
106	12	3200	11
107	14	3200	11
108	17	3200	11
109	19	3200	11
110	22	3200	11
111	4	3200	12
112	5	3200	12
113	6	3200	12
114	8	3200	12
115	9	3200	12
116	11	3200	12
117	13	3200	12
118	16	3200	12
119	18	3200	12
120	21	3200	12
121	3	3200	13
122	4	3200	13
123	5	3200	13
124	7	3200	13
125	8	3200	13
126	10	3200	13
127	12	3200	13
128	15	3200	13
129	17	3200	13
130	20	3200	13
131	2	3200	14
132	3	3200	14
133	4	3200	14
134	6	3200	14
135	7	3200	14
136	9	3200	14
137	11	3200	14
138	14	3200	14
139	16	3200	14
140	19	3200	14
141	1	3200	15
142	2	3200	15
143	3	3200	15
144	5	3200	15
145	6	3200	15
146	8	3200	15
147	10	3200	15
148	13	3200	15
149	15	3200	15
150	18	3200	15
151	1	3200	16
152	2	3200	16
153	3	3200	16
154	5	3200	16
155	6	3200	16
156	8	3200	16
157	10	3200	16
158	13	3200	16
159	15	3200	16
160	18	3200	16
161	2	3200	17
162	3	3200	17
163	4	3200	17
164	6	3200	17
165	7	3200	17
166	9	3200	17
167	11	3200	17
168	14	3200	17
169	16	3200	17
170	19	3200	17
171	3	3200	18
172	4	3200	18
173	5	3200	18
174	7	3200	18
175	8	3200	18
176	10	3200	18
177	12	3200	18
178	15	3200	18
179	17	3200	18
180	20	3200	18
181	4	3200	19
182	5	3200	19
183	6	3200	19
184	8	3200	19
185	9	3200	19
186	11	3200	19
187	13	3200	19
188	16	3200	19
189	18	3200	19
190	21	3200	19
191	5	3200	20
192	6	3200	20
193	7	3200	20
194	9	3200	20
195	10	3200	20
196	12	3200	20
197	14	3200	20
198	17	3200	20
199	19	3200	20
200	22	3200	20
201	8	3200	21
202	9	3200	21
203	10	3200	21
204	12	3200	21
205	13	3200	21
206	15	3200	21
207	17	3200	21
208	20	3200	21
209	22	3200	21
210	25	3200	21
211	7	3200	22
212	8	3200	22
213	9	3200	22
214	11	3200	22
215	12	3200	22
216	14	3200	22
217	16	3200	22
218	19	3200	22
219	21	3200	22
220	24	3200	22
221	6	3200	23
222	7	3200	23
223	8	3200	23
224	10	3200	23
225	11	3200	23
226	13	3200	23
227	15	3200	23
228	18	3200	23
229	20	3200	23
230	23	3200	23
231	5	3200	24
232	6	3200	24
233	7	3200	24
234	9	3200	24
235	10	3200	24
236	12	3200	24
237	14	3200	24
238	17	3200	24
239	19	3200	24
240	22	3200	24
241	4	3200	25
242	5	3200	25
243	6	3200	25
244	8	3200	25
245	9	3200	25
246	11	3200	25
247	13	3200	25
248	16	3200	25
249	18	3200	25
250	21	3200	25
251	4	3200	26
252	5	3200	26
253	6	3200	26
254	8	3200	26
255	9	3200	26
